disasterNumber,zip_counts,totalDamage,validRegistrations,totalInspected,approvedForFemaAssistance,disasterLength
4451,256,13749710.030000001,2955,2201,1496,67 days
4454,74,14765839.32,5763,5252,2400,1 days
4466,388,106081536.89,25790,21357,11217,6 days
4469,101,5889409.53,1953,1607,1318,17 days
4473,165,82284751.69,39906,35028,14238,188 days
4476,101,5043018.51,5422,2400,788,0 days
4480,1595,0.0,44803,0,36846,1207 days
4481,459,0.0,4890,0,3852,1207 days
4482,1942,0.0,48038,0,38828,1207 days
4483,547,0.0,5305,0,4455,1207 days
4484,523,0.0,10298,0,8234,1207 days
4485,2209,0.0,51965,0,42878,1207 days
4486,1463,0.0,39597,0,32568,1207 days
4487,999,0.0,19764,0,16504,1207 days
4488,790,0.0,19486,0,16282,1207 days
4489,1242,0.0,23417,0,19292,1207 days
4490,865,0.0,13027,0,11049,1207 days
4491,484,0.0,9683,0,8042,1207 days
4492,546,0.0,13245,0,11006,1207 days
4493,231,0.0,3549,0,2787,1207 days
4494,1169,0.0,22343,0,18834,1207 days
4495,8,0.0,38,0,20,1207 days
4496,639,0.0,12021,0,10096,1207 days
4497,710,0.0,12123,0,10105,1207 days
4498,437,0.0,5426,0,4420,1207 days
4499,305,0.0,2974,0,2393,1207 days
4500,337,0.0,5963,0,5047,1207 days
4501,934,0.0,22940,0,18878,1207 days
4502,42,0.0,1240,0,967,1207 days
4503,773,0.0,13113,0,10789,1207 days
4504,472,0.0,5382,0,4554,1207 days
4505,87,0.0,2013,0,1712,1207 days
4506,1616,0.0,30376,0,25825,1207 days
4507,1293,0.0,26963,0,22966,1207 days
4508,154,0.0,1629,0,1384,1207 days
4509,146,0.0,1678,0,1452,1207 days
4510,66,0.0,801,0,599,1207 days
4511,3,0.0,41,0,21,1207 days
4512,863,0.0,13338,0,11103,1207 days
4513,21,0.0,110,0,86,1207 days
4514,802,0.0,18064,0,15073,1207 days
4515,753,0.0,13123,0,11031,1207 days
4516,160,0.0,1339,0,1090,1207 days
4517,409,0.0,5062,0,4278,1207 days
4518,482,0.0,6628,0,5416,1207 days
4519,20,1765610.8599999999,298,212,165,4 days
4520,737,0.0,10071,0,8584,1207 days
4521,312,0.0,2839,0,2380,1207 days
4522,211,0.0,1429,0,1139,1207 days
4523,195,0.0,5692,0,4559,1207 days
4524,478,0.0,11294,0,9031,1207 days
4525,235,0.0,2821,0,2333,1207 days
4526,95,0.0,1808,0,1478,1207 days
4527,176,0.0,1618,0,1363,1207 days
4528,492,0.0,9536,0,7698,1207 days
4529,239,0.0,3966,0,3158,1207 days
4530,578,0.0,9235,0,7725,1207 days
4531,630,0.0,6387,0,5473,1207 days
4532,78,0.0,333,0,277,1207 days
4533,76,0.0,490,0,368,1207 days
4534,202,0.0,2274,0,1918,1207 days
4535,76,0.0,869,0,737,1207 days
4536,93,8443143.18,2809,1899,1103,0 days
4537,2,0.0,30,0,12,1207 days
4541,43,2510499.3,1317,664,383,1 days
4542,172,5185044.21,3233,1922,1089,1 days
4547,150,35676355.02,5200,3712,2767,6 days
4548,87,838066.35,1062,609,285,30 days
4557,363,10915459.75,21231,6890,3092,0 days
4558,761,63606377.199999996,21685,8267,2910,43 days
4559,552,216581818.1,216428,81792,76087,5 days
4560,13,1273084.53,848,524,309,2 days
4562,355,70365206.46,24013,6211,3254,57 days
4563,206,90410714.15,73957,35297,22778,2 days
4564,223,43634238.410000004,33371,14104,8558,14 days
4569,1071,21935451.57,8687,2585,362,74 days
4570,254,59401846.74,43622,20635,11527,4 days
4571,7,307940.98,176,101,83,0 days
4573,186,24446904.11,21071,14108,8941,1 days
4576,75,19127074.25,17245,7719,5393,1 days
4577,133,10170326.04,15795,6964,3908,3 days
4586,2890,126643765.64,408927,103439,60329,10 days
4587,367,2519401.29,6255,2474,1205,12 days
4590,344,5028093.43,11392,5788,3052,8 days
4595,300,13496384.98,3300,1917,1336,15 days
4596,162,4366728.86,1360,716,376,1 days
4601,70,1965772.04,1171,655,417,9 days
4605,92,1641284.88,672,517,262,5 days
4606,117,14939151.76,6386,3818,2501,4 days
4607,386,131429062.11,100048,73542,56529,1 days
4609,49,12341599.3,2478,1957,955,0 days
4610,142,22098492.71,1986,1184,447,103 days
4611,766,733686391.53,803701,422519,564238,8 days
4614,729,277273998.61,83954,67447,45008,2 days
4615,940,210262165.99,87999,74124,41376,2 days
4617,65,6117788.31,2570,1913,806,2 days
4618,587,89248051.78,78274,71156,43197,5 days
4626,93,9849886.61,7498,6060,2908,4 days
4629,194,8891571.79,2569,2137,1551,1 days
4630,195,40055977.29,14929,9555,2362,1 days
4632,88,2429135.08,889,748,386,1 days
4633,40,1680550.26,590,325,138,1 days
4634,28,14786546.95,3201,837,948,8 days
4635,96,7787958.84,1943,1593,1119,27 days
4637,151,2982307.01,1678,467,195,1 days
4649,28,1329145.49,1062,879,502,2 days
4652,126,24288603.68,4232,2371,1382,109 days
4655,58,3494598.5300000003,839,518,330,25 days
4657,175,4767070.42,2587,2016,878,6 days
4663,494,112579415.91,15912,13426,8767,16 days
4665,569,38475383.49,27096,22546,14019,3 days
4668,275,766363.67,777,555,81,1 days
4671,1236,122097889.94,1237842,152329,740667,4 days
4672,67,6992604.95,1083,1000,873,5 days
4673,1724,1666006055.95,910044,274588,386829,42 days
